distance_m,total_elevation_gain,average_heartrate,distance_km,elapsed_time_min,pace_min_per_km,has_heartrate,source,average_speed
2965.8,17.4,150.3,2.9658,13.533333333333333,4.563130802256839,1.0,0,13.148866995073892
10020.8,52.2,160.8,10.0208,54.833333333333336,5.471951673851723,1.0,0,10.965009118541031
12132.2,249.0,148.9,12.132200000000001,67.11666666666666,5.532110142156134,1.0,0,10.84577104544326
11631.5,194.0,136.2,11.6315,74.03333333333333,6.364899912593675,1.0,0,9.426699684826655
11708.1,250.7,146.0,11.7081,67.03333333333333,5.725381004034244,1.0,0,10.479651914470415
14538.4,239.3,143.7,14.5384,86.56666666666666,5.954346191236083,1.0,0,10.076673084328071
11083.5,90.8,143.2,11.0835,57.333333333333336,5.172854543540699,1.0,0,11.599011627906977
11432.4,197.2,150.2,11.4324,67.38333333333334,5.8940671541700205,1.0,0,10.17972792480831
14550.5,264.7,155.8,14.5505,86.61666666666666,5.952830945099252,1.0,0,10.079238021935733
14672.7,191.4,126.8,14.6727,86.96666666666667,5.927107258150624,1.0,0,10.122981985435032
14224.9,209.5,133.4,14.2249,87.31666666666666,6.138297398692902,1.0,0,9.774697461347586
15342.1,270.2,147.4,15.3421,88.68333333333334,5.78039077657774,1.0,0,10.379921067468521
10081.9,199.5,132.7,10.0819,66.08333333333333,6.554650743742085,1.0,0,9.15380580075662
10056.7,179.1,170.8,10.056700000000001,57.9,5.757355792655642,1.0,0,10.421450777202073
15024.3,270.0,149.4,15.024299999999998,91.3,6.076822214678887,1.0,0,9.873581599123767
12393.1,260.5,131.9,12.3931,76.7,6.188927709773987,1.0,0,9.694732724902217
12849.4,420.0,151.3,12.8494,84.08333333333333,6.543755609859864,1.0,0,9.169046580773042
12351.5,240.1,133.7,12.3515,71.08333333333333,5.755036500290113,1.0,0,10.425650644783119
4346.6,114.1,113.1,4.3466000000000005,37.2,8.558413472599273,1.0,0,7.010645161290324
10056.6,198.0,131.5,10.0566,62.416666666666664,6.206537663491306,1.0,0,9.667225634178907
20022.0,82.3,146.0,20.022,101.51666666666667,5.070256051676489,1.0,0,11.833721884747987
13733.8,234.9,148.7,13.733799999999999,76.7,5.584761682855437,1.0,0,10.743520208604954
10174.4,206.8,130.4,10.1744,66.41666666666667,6.5278214603973375,1.0,0,9.191427854454203
12566.6,218.5,134.5,12.566600000000001,75.21666666666667,5.985442893596252,1.0,0,10.024320850875249
9105.7,74.7,121.7,9.1057,56.083333333333336,6.1591457365532944,1.0,0,9.741610698365529
10025.2,55.3,124.0,10.0252,59.43333333333333,5.9283937810052,1.0,0,10.120785193494111
14622.1,390.5,,14.6221,115.25,7.8819047879579545,0.0,0,7.612373101952278
7265.8,209.1,139.4,7.2658000000000005,48.416666666666664,6.663638782607099,1.0,0,9.004089500860587
12103.8,62.2,130.8,12.1038,71.23333333333333,5.8852040956834495,1.0,0,10.195058493214788
10695.1,119.2,138.5,10.6951,64.73333333333333,6.05261599548703,1.0,0,9.913069001029864
11051.2,60.8,149.6,11.051200000000001,55.63333333333333,5.034144105014236,1.0,0,11.918609946075497
14527.6,235.8,145.5,14.5276,80.35,5.530851620363997,1.0,0,10.84823895457374
11369.6,245.5,139.7,11.3696,66.61666666666666,5.859191762829533,1.0,0,10.240320240180136
11040.7,338.2,127.6,11.040700000000001,88.36666666666666,8.003719570920925,1.0,0,7.4965145228215775
13624.2,208.7,134.7,13.6242,80.63333333333334,5.918390315272334,1.0,0,10.137891690781315
9891.0,170.4,134.9,9.891,61.916666666666664,6.2598995720014825,1.0,0,9.584818304172275
12009.1,326.2,143.6,12.0091,80.88333333333334,6.7351702736535906,1.0,0,8.908460745930352
10466.1,226.9,138.5,10.4661,63.46666666666667,6.0640225744705925,1.0,0,9.894422268907565
16508.9,245.7,136.1,16.5089,103.01666666666667,6.240068488310346,1.0,0,9.615279081054846
10020.5,2.0,154.7,10.0205,52.983333333333334,5.287493970693411,1.0,0,11.347530670022019
